id,length,ns_percent,gc_content
PV762300.1,864,0.0,39.81481481481482
PV762299.1,864,0.0,39.81481481481482
PV762298.1,864,0.0,39.81481481481482
PV762297.1,864,0.0,39.467592592592595
PV762296.1,864,0.0,39.81481481481482
PV762295.1,864,0.0,39.81481481481482
PV762294.1,864,0.0,39.81481481481482
PV762293.1,864,0.0,39.81481481481482
PV762292.1,864,0.0,39.699074074074076
PV762291.1,864,0.0,39.81481481481482
PV762290.1,864,0.0,39.93055555555556
PV762289.1,864,0.0,40.0462962962963
PV762288.1,864,0.0,40.0462962962963
PV762287.1,864,0.0,40.0462962962963
PV762286.1,864,0.0,39.90719257540603
PV762285.1,864,0.0,40.0462962962963
PV762284.1,864,0.0,40.0462962962963
PV762283.1,864,0.0,40.0462962962963
PV762282.1,864,0.0,40.0462962962963
PV762281.1,864,0.0,40.0462962962963
PV762280.1,864,0.0,40.0462962962963
PV762279.1,864,0.0,39.90719257540603
PV762278.1,864,0.0,40.0462962962963
PV762277.1,864,0.0,39.467592592592595
PV762276.1,861,0.0,39.48896631823461
PV762275.1,864,0.0,39.467592592592595
PV762274.1,864,0.0,39.467592592592595
PV762273.1,864,0.0,39.467592592592595
PV762272.1,864,0.0,39.81481481481482
PV762271.1,864,0.0,39.62920046349942
PV762270.1,864,0.0,39.58333333333333
PV762269.1,864,0.0,39.81481481481482
PV762268.1,864,0.0,39.467592592592595
PV762267.1,864,0.0,39.93055555555556
PV762266.1,864,0.0,39.351851851851855
PV762265.1,864,0.0,39.699074074074076
PV762264.1,864,0.0,39.699074074074076
PV762263.1,864,0.0,39.58333333333333
PV762262.1,864,0.0,39.559164733178655
PV762261.1,864,0.0,39.58333333333333
PV762260.1,864,0.0,39.58333333333333
PV762259.1,864,0.0,39.467592592592595
PV762258.1,864,0.0,39.58333333333333
PV762257.1,864,0.0,39.699074074074076
PV762256.1,864,0.0,39.699074074074076
PV762255.1,2841,16.89545934530095,38.52354688162919
PV762254.1,2841,16.89545934530095,38.585345192714954
PV762253.1,2841,16.89545934530095,38.474576271186436
PV762252.1,2841,16.89545934530095,38.28886065226599
PV383164.1,1083,0.0,37.0817843866171
PV383163.1,1082,0.0,39.01760889712697
PV383162.1,1083,0.0,38.333333333333336
PV383161.1,1083,0.0,36.778398510242084
PV383160.1,1038,0.0,36.939571150097464
PV383159.1,1083,0.09233610341643582,36.71947809878844
PV383158.1,747,0.0,37.244201909959074
PV383157.1,1073,0.0,37.29933899905571
PV383156.1,1083,0.0,35.5822550831793
PV383155.1,775,0.0,39.19793014230272
PV383154.1,1081,0.0,37.66233766233766
PV383153.1,1055,0.0,36.15604186489058
PV383152.1,785,0.0,37.80332056194125
PV383151.1,297,0.0,39.39393939393939
PV383150.1,1302,0.0,37.896365042536736
PV383149.1,1031,0.0,37.81925343811395
PV383148.1,1161,0.0,37.4025974025974
PV383147.1,1083,0.0,37.071362372567194
PV383146.1,1302,0.0,37.41285824941906
PV383145.1,1302,0.0,38.05104408352668
PV383144.1,1302,0.0,37.509607993850885
PV383143.1,1083,0.0,35.787511649580615
PV383142.1,1036,0.0,36.30203291384318
PV383141.1,1302,0.0,36.92307692307693
PV383140.1,785,0.0,37.70700636942676
PV383139.1,785,0.0,36.7816091954023
PV383138.1,1287,0.0,37.15846994535519
PV383137.1,1081,0.0,37.2330547818013
PV383136.1,1281,0.0,37.245696400625974
PV383135.1,786,0.0,38.040712468193384
PV383134.1,297,0.0,38.907849829351534
PV383133.1,1302,0.0,38.49114703618168
PV383132.1,1083,0.0,38.227146814404435
PV383131.1,1302,0.0,37.06563706563706
PV383130.1,1035,0.0,37.73399014778325
PV383129.1,1272,0.0,37.47016706443914
PV383128.1,716,0.0,36.03351955307262
PV383127.1,786,0.0,37.084398976982094
PV383126.1,778,0.0,39.203084832904885
PV383125.1,297,0.0,36.86006825938566
PV383124.1,669,0.0,36.32286995515695
PV383123.1,1083,0.0,37.116279069767444
PV383122.1,1083,0.0,37.74283071230342
PV383121.1,1083,0.0,37.640449438202246
PV383120.1,1083,0.0,36.817761332099906
PV383119.1,1034,0.0,37.32809430255403
PV383118.1,1200,0.0,38.19095477386934
PV383117.1,1302,0.0,37.76061776061776
PV383116.1,1039,0.0,37.126325940212155
PV383115.1,1302,0.0,37.6061776061776
PV383114.1,1210,0.0,37.72802653399668
